Strom (in Amp),Abstand (in cm),Grundfeldstärke (in mT),Feldstärke (in mT)
1.5,-2.4,-0.067,15.9
1.5,-2,-0.066,18.32
1.5,-1.4,-0.064,20
1.5,-0.9,-0.061,21
1.5,0,-0.058,22.7
1.5,0.5,-0.053,22.8
1.5,1,-0.05,22.6
1.5,1.5,-0.044,21.9
1.5,2,-0.04,20.8
1.5,2.5,-0.033,19.3
1.5,3,-0.021,17.35
1.5,3.5,-0.011,15.17
1.5,4,0.006,12.86
1.5,4.5,0.023,10.69
1.5,5,0.05,8.69
1.5,5.5,0.75,7.04
1.5,6,0.087,5.69
1.5,6.5,0.055,4.54
1.5,7,-0.041,3.59
1.5,7.5,-0.153,2.68
1.5,8,-0.237,2.09
1.5,8.5,-0.276,1.604
1.5,9,-0.28,1.31
1.5,9.5,-0.26,1.098
1.5,10,-0.226,0.952
1.5,10.5,-0.182,0.834
1.5,11,-0.14,0.752
1.5,12,-0.064,0.628
1.5,13,-0.022,0.527
1.5,14,-0.02,0.425
1.5,15,-0.047,0.315
1.5,17,-0.017,0.231
1.5,20,0.028,0.178
1.5,25,-0.19,-0.116
1.5,30,-0.087,-0.45
1.5,35,-0.027,0
1.5,40,-0.083,-0.065
