Strom (in Amp),Abstand (in cm),Grundfeldstärke (in mT),Feldstärke (in mT)
1.5,4,0.109,27.8
1.5,4.5,0.178,24.6
1.5,5,0.221,20.8
1.5,5.5,0.206,17.14
1.5,6,0.1,13.84
1.5,6.5,-0.084,10.73
1.5,7,-0.237,8.44
1.5,7.5,-0.332,6.67
1.5,8,-0.372,5.5
1.5,8.5,-0.375,4.62
1.5,9,-0.358,3.94
1.5,9.5,-0.326,3.42
1.5,10,-0.286,2.96
1.5,11,-0.207,2.33
1.5,12,-0.134,1.876
1.5,13,-0.075,1.546
1.5,14,-0.036,1.274
1.5,15,-0.016,1.062
1.5,17,0.072,0.821
1.5,20,-0.005,0.459
1.5,25,-0.113,0.124
1.5,30,-0.065,0.07
1.5,35,-0.044,0.04
1.5,40,-0.097,-0.037
