Strom (in Amp),Abstand (in cm),Grundfeldstärke (in mT),Feldstärke (in mT)
1,-2.4,-0.0715,10.58
1,-2,-0.071,12.15
1,-1.4,-0.07,13.24
1,-0.9,-0.0685,14.34
1,-0.4,-0.0665,14.74
1,0,-0.0645,15.47
1,0.5,-0.0625,15.62
1,1,-0.06,15.47
1,1.5,-0.0565,15.03
1,2,-0.052,14.33
1,2.5,-0.044,13.31
1,3,-0.04,12.29
1,3.5,-0.029,10.99
1,4,-0.019,8.98
1,4.5,-0.002,7.4
1,5,0.019,6.03
1,5.5,0.041,4.87
1,6,0.054,3.97
1,6.5,0.033,3.18
1,7,-0.041,2.46
1,7.5,-0.136,1.85
1,8,-0.212,1.389
1,8.5,-0.253,1.057
1,9,-0.255,0.851
1,10,-0.203,0.613
1,11,-0.123,0.495
1,13,-0.031,0.349
1,15,-0.059,0.188
1,20,0.013,0.121
1,25,-0.209,-0.158
1,30,-0.097,-0.069
1,35,-0.031,-0.013
1,40,-0.107,-0.094
