Eingangsspannung (in V),Ausgangsspannung (in V),Phasenunterschied,Frequenz (in kHz)
4.64,0.021,90.5,1
4.72,0.098,88.2,5
4.72,0.2,85.6,10
4.68,0.314,83.9,15
4.68,0.464,81.7,20
4.72,0.648,79.8,25
4.8,0.928,77,30
4.8,1.44,64.2,35
4.8,2.36,58.3,40
4.8,3.72,18.7,45
4.6,3.88,0,46.15
4.6,3.88,-5.4,47
4.6,3.88,-14.2,48
4.72,3.8,-21.9,49
4.72,3.4,-31.3,50
4.72,2.76,-43.6,53
4.72,2.44,-51.8,55
4.72,1.72,-66.6,60
4.72,1.34,-70.9,65
4.72,1.1,-73.2,70
4.68,0.944,-76.7,75
4.68,0.832,-79,80
4.68,0.672,-81.2,90
4.8,0.568,-86.4,100
