Eingangsspannung (in V),Ausgangsspannung (in V),Phasenunterschied,Frequenz (in kHz)
4.72,4.76,0,0.07
4.76,4.8,0,0.008
4.76,4.8,0,0.08
4.72,4.76,-1.56,0.361
4.72,4.76,-2.3,0.4
4.72,4.72,-3.4,0.68
4.72,4.72,-4.48,0.78
4.72,4.72,-4.9,0.88
4.72,4.72,-5.4,1.08
4.72,4.72,-6.42,1.28
4.72,4.68,-7.47,1.48
4.72,4.68,-8,1.68
4.72,4.68,-8.8,1.88
4.72,4.68,-10.5,2.08
4.72,4.68,-12,2.4
4.72,4.6,-14,3
4.72,4.52,-16.3,3.5
4.72,4.52,-19,4
4.72,4.52,-20.7,4.5
4.76,4.36,-23.6,5.2
4.76,4.12,-26.3,6
4.8,4.08,-30.2,7
4.76,3.96,-34.1,8
4.76,3.8,-36.2,9
4.72,3.64,-38.1,10
4.8,2.92,-51.7,15
4.76,2.44,-60.5,20
4.72,2.04,-63.3,25
4.8,1.78,-66.6,30
4.8,1.54,-67.7,35
4.8,1.38,-71.7,40
4.8,1.26,-75.1,45
4.8,1.14,-77.2,50
4.8,0.96,-77.9,60
4.8,0.8,-80.3,70
4.8,0.704,-80.9,80
4.8,0.616,-82.2,90
4.8,0.556,-82.8,100
